timestamp,Fire_rune,Water_rune,Air_rune,Earth_rune,Mind_rune,Body_rune,Death_rune,Nature_rune,Chaos_rune,Law_rune,Cosmic_rune,Blood_rune,Soul_rune
1588723200000,6,5,5,5,4,4,221,256,92,204,155,374,147
1588809600000,6,5,5,5,4,5,218,256,93,209,148,370,147
1588896000000,6,5,5,4,3,4,213,255,93,208,145,366,146
1588982400000,6,5,5,4,3,4,212,252,95,205,151,360,147
1589068800000,6,5,5,5,3,5,213,248,97,203,157,357,147
1589155200000,6,5,5,5,3,5,217,248,99,203,157,360,147
1589241600000,5,5,5,5,3,5,218,246,100,202,152,360,146
1589328000000,5,5,5,5,3,4,217,245,101,202,151,361,146
1589414400000,6,5,5,5,4,4,217,243,102,202,148,361,146
1589500800000,6,5,5,5,4,5,219,242,103,206,148,361,147
1589587200000,6,5,5,5,4,5,221,238,103,205,148,362,147
1589673600000,6,5,5,5,4,4,220,230,102,199,149,360,145
1589760000000,6,5,5,5,4,5,217,226,99,195,151,360,146
1589846400000,6,5,5,5,4,5,216,227,99,187,146,360,147
1589932800000,5,5,5,5,4,4,214,229,100,189,141,362,147
1590019200000,5,5,5,5,4,4,210,232,100,192,138,359,147
1590105600000,5,5,5,5,4,5,209,234,99,194,133,359,147
1590192000000,6,5,5,5,4,5,207,233,97,194,132,360,147
1590278400000,6,5,5,5,4,4,207,234,94,192,138,363,147
1590364800000,6,5,5,5,4,5,209,235,93,186,145,367,147
1590451200000,5,5,5,5,4,5,212,240,92,184,150,370,147
1590537600000,6,5,5,5,4,5,213,239,93,184,149,371,147
1590624000000,5,5,5,4,3,4,212,239,93,188,147,371,147
1590710400000,6,5,5,5,3,5,209,236,95,190,143,371,147
1590796800000,6,5,5,5,3,4,206,232,97,194,139,370,147
1590883200000,5,5,5,5,3,4,205,228,99,190,143,372,147
1590969600000,5,5,5,5,3,5,205,227,99,189,146,372,147
1591056000000,5,5,5,5,3,5,204,225,99,184,143,373,147
1591142400000,5,5,5,5,4,4,207,223,100,183,136,376,147
